what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.notifications.feed,0.9.0.v20120319-0200,"org.eclipse.mylyn.commons.notifications.feed",1334950135057
started,bundle,org.eclipse.mylyn.commons.notifications.ui,0.9.0.v20120319-0200,"org.eclipse.mylyn.commons.notifications.ui",1334950135058
started,bundle,org.eclipse.mylyn.commons.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.commons.ui",1334950135059
started,bundle,org.eclipse.mylyn.commons.workbench,3.7.0.v20120319-0200,"org.eclipse.mylyn.commons.workbench",1334950135059
started,bundle,org.eclipse.mylyn.context.core,3.7.0.v20120319-0200,"org.eclipse.mylyn.context.core",1334950135060
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.context.tasks.ui",1334950135060
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.monitor.ui",1334950135061
started,bundle,org.eclipse.mylyn.tasks.index.core,3.7.0.v20120319-0200,"org.eclipse.mylyn.tasks.index.core",1334950135061
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.tasks.ui",1334950135062
started,bundle,org.eclipse.mylyn.team.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.team.ui",1334950135063
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1334950135064
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1334950135065
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1334950135074
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1334950135075
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1334950135077
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1334950135079
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1334950135079
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1334950135079
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1334950135084
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1334950135085
os,sysinfo,,,"macosx",1334950135090
arch,sysinfo,,,"x86",1334950135090
ws,sysinfo,,,"cocoa",1334950135090
locale,sysinfo,,,"en_US",1334950135090
processors,sysinfo,,,"2",1334950135090
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1334950135090
java.runtime.version,sysinfo,,,"1.6.0_31-b04-415-11M3635",1334950135090
java.specification.name,sysinfo,,,"Java Platform API Specification",1334950135090
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1334950135090
java.specification.version,sysinfo,,,"1.6",1334950135090
java.vendor,sysinfo,,,"Apple Inc.",1334950135090
java.version,sysinfo,,,"1.6.0_31",1334950135090
java.vm.info,sysinfo,,,"mixed mode",1334950135090
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1334950135090
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1334950135090
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1334950135090
java.vm.specification.version,sysinfo,,,"1.0",1334950135090
java.vm.vendor,sysinfo,,,"Apple Inc.",1334950135090
java.vm.version,sysinfo,,,"20.6-b01-415",1334950135090
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1334950135128
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1334950135128
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1334950135513
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1334950135546
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql.h2",1334950135666
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1334950135769
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1334950135783
started,bundle,org.eclipse.jst.j2ee.core,1.2.4.v201102101900,"org.eclipse.jst.j2ee.core",1334950135809
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1334950135841
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1334950135913
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1334950135976
started,bundle,org.eclipse.jst.j2ee,1.1.404.v201102081800,"org.eclipse.jst.j2ee",1334950135987
started,bundle,org.eclipse.jem.workbench,2.0.300.v200910290230,"org.eclipse.jem.workbench",1334950136305
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1334950136722
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1334950137128
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1334950137767
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1334950142148
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1334950142149
